time,pressure
0.001,2743.96
0.0021,2737.52
0.0034,2730.16
0.0048,2722.32
0.0064,2713.83
0.0082,2704.46
0.0103,2694.23
0.0125,2683.03
0.0151,2671.26
0.018,2658.36
0.0212,2644.71
0.0249,2630.14
0.029,2614.84
0.0336,2598.72
0.0388,2582.14
0.0447,2564.96
0.0513,2547.42
0.0587,2529.89
0.067,2512.19
0.0764,2494.89
0.0869,2478.16
0.0988,2462.14
0.1121,2446.97
0.1271,2432.97
0.144,2420.21
0.163,2409.04
0.1844,2398.75
0.209,2390.2
0.236,2382.79
0.266,2376.35
0.3,2370.96
0.339,2366.46
0.382,2362.35
0.431,2358.74
0.486,2355.31
0.547,2352.5
0.617,2349.73
0.695,2346.98
0.783,2344.54
0.882,2341.74
0.993,2339.53
1.118,2337.28
1.259,2334.67
1.417,2332.55
1.595,2330.48
1.795,2328.15
2.021,2325.9
2.275,2323.66
2.56,2321.42
2.881,2319.35
3.242,2317.33
3.648,2315.03
4.105,2313.02
4.619,2311.06
5.198,2308.95
5.848,2306.79
6.58,2304.87
7.404,2302.32
8.331,2300.59
9.373,2298.46
10.55,2296.49
11.86,2294.32
13.35,2292.28
15.02,2290.17
16.9,2288.11
19.01,2286.06
21.39,2283.99
24.06,2281.84
27.07,2279.76
30.45,2277.95
34.26,2275.56
38.55,2273.78
43.37,2271.54
48.79,2269.77
54.79,2267.69
60.79,2265.73
66.79,2264.46
72,2262.99
